phi,rho,creation_prob,chi
-3.141592653589793,-3.141592653589793,0.9090909090909091,0.0
-3.141592653589793,-2.8108986900540254,0.9090909090909091,0.0
-3.141592653589793,-2.4802047265182576,0.9090909090909091,0.0
-3.141592653589793,-2.14951076298249,0.9090909090909091,0.0
-3.141592653589793,-1.8188167994467224,0.9090909090909091,0.0
-3.141592653589793,-1.4881228359109546,0.9090909090909091,0.0
-3.141592653589793,-1.157428872375187,0.9090909090909091,0.0
-3.141592653589793,-0.8267349088394194,0.9090909090909091,0.0
-3.141592653589793,-0.4960409453036516,0.9090909090909091,0.0
-3.141592653589793,-0.16534698176788387,0.9090909090909091,0.0
-3.141592653589793,0.16534698176788387,0.9090909090909091,0.0
-3.141592653589793,0.4960409453036516,0.9090909090909091,0.0
-3.141592653589793,0.8267349088394189,0.9090909090909091,0.0
-3.141592653589793,1.1574288723751867,0.9090909090909091,0.0
-3.141592653589793,1.4881228359109544,0.9090909090909091,0.0
-3.141592653589793,1.8188167994467221,0.9090909090909091,0.0
-3.141592653589793,2.14951076298249,0.9090909090909091,0.0
-3.141592653589793,2.4802047265182576,0.9090909090909091,0.0
-3.141592653589793,2.8108986900540254,0.9090909090909091,0.0
-3.141592653589793,3.141592653589793,0.9090909090909091,0.0
-2.8108986900540254,-3.141592653589793,1.1246816329163378,0.0
-2.8108986900540254,-2.8108986900540254,1.1246816329163378,0.0
-2.8108986900540254,-2.4802047265182576,1.1246816329163378,0.0
-2.8108986900540254,-2.14951076298249,1.1246816329163378,0.0
-2.8108986900540254,-1.8188167994467224,1.1246816329163378,0.0
-2.8108986900540254,-1.4881228359109546,1.1246816329163378,0.0
-2.8108986900540254,-1.157428872375187,1.1246816329163378,0.0
-2.8108986900540254,-0.8267349088394194,1.1246816329163378,0.0
-2.8108986900540254,-0.4960409453036516,1.1246816329163378,0.0
-2.8108986900540254,-0.16534698176788387,1.1246816329163378,0.0
-2.8108986900540254,0.16534698176788387,1.1246816329163378,0.0
-2.8108986900540254,0.4960409453036516,1.1246816329163378,0.0
-2.8108986900540254,0.8267349088394189,1.1246816329163378,0.0
-2.8108986900540254,1.1574288723751867,1.1246816329163378,0.0
-2.8108986900540254,1.4881228359109544,1.1246816329163378,0.0
-2.8108986900540254,1.8188167994467221,1.1246816329163378,0.0
-2.8108986900540254,2.14951076298249,1.1246816329163378,0.0
-2.8108986900540254,2.4802047265182576,1.1246816329163378,0.0
-2.8108986900540254,2.8108986900540254,1.1246816329163378,0.0
-2.8108986900540254,3.141592653589793,1.1246816329163378,0.0
-2.4802047265182576,-3.141592653589793,2.894477589423202,0.0
-2.4802047265182576,-2.8108986900540254,2.894477589423202,0.0
-2.4802047265182576,-2.4802047265182576,2.894477589423202,0.0
-2.4802047265182576,-2.14951076298249,2.894477589423202,0.0
-2.4802047265182576,-1.8188167994467224,2.894477589423202,0.0
-2.4802047265182576,-1.4881228359109546,2.894477589423202,0.0
-2.4802047265182576,-1.157428872375187,2.894477589423202,0.0
-2.4802047265182576,-0.8267349088394194,2.894477589423202,0.0
-2.4802047265182576,-0.4960409453036516,2.894477589423202,0.0
-2.4802047265182576,-0.16534698176788387,2.894477589423202,0.0
-2.4802047265182576,0.16534698176788387,2.894477589423202,0.0
-2.4802047265182576,0.4960409453036516,2.894477589423202,0.0
-2.4802047265182576,0.8267349088394189,2.894477589423202,0.0
-2.4802047265182576,1.1574288723751867,2.894477589423202,0.0
-2.4802047265182576,1.4881228359109544,2.894477589423202,0.0
-2.4802047265182576,1.8188167994467221,2.894477589423202,0.0
-2.4802047265182576,2.14951076298249,2.894477589423202,0.0
-2.4802047265182576,2.4802047265182576,2.894477589423202,0.0
-2.4802047265182576,2.8108986900540254,2.894477589423202,0.0
-2.4802047265182576,3.141592653589793,2.894477589423202,0.0
-2.14951076298249,-3.141592653589793,1.9932412193946452,0.0
-2.14951076298249,-2.8108986900540254,1.9932412193946452,0.0
-2.14951076298249,-2.4802047265182576,1.9932412193946452,0.0
