theta,rho,detJ
4.29902152596498,2.976245671821909,-5.004471529113662
4.29902152596498,3.6376335988934443,-5.004471529068931
4.29902152596498,4.29902152596498,-5.004471529208843
4.29902152596498,4.960409453036515,-5.004471529062972
4.29902152596498,5.621797380108051,-5.004471528332949
4.29902152596498,6.283185307179586,-5.0044715290403605
4.960409453036515,-6.283185307179586,-6.4984808871068305
4.960409453036515,-5.621797380108051,-6.498480886439511
4.960409453036515,-4.960409453036515,-6.498480887393858
4.960409453036515,-4.29902152596498,-6.498480887000108
4.960409453036515,-3.6376335988934447,-6.498480887410021
4.960409453036515,-2.9762456718219092,-6.498480887091082
4.960409453036515,-2.314857744750374,-6.4984808868310635
4.960409453036515,-1.6534698176788387,-6.498480885757855
4.960409453036515,-0.9920818906073032,-6.498480887537813
4.960409453036515,-0.33069396353576774,-6.498480885980357
4.960409453036515,0.33069396353576774,-6.498480886304458
4.960409453036515,0.9920818906073032,-6.498480886582689
4.960409453036515,1.6534698176788378,-6.498480885770925
4.960409453036515,2.3148577447503733,-6.4984808876415885
4.960409453036515,2.976245671821909,-6.498480887274343
4.960409453036515,3.6376335988934443,-6.4984808877494205
4.960409453036515,4.29902152596498,-6.498480887360868
4.960409453036515,4.960409453036515,-6.498480887370013
4.960409453036515,5.621797380108051,-6.498480887160491
4.960409453036515,6.283185307179586,-6.498480886972738
5.621797380108051,-6.283185307179586,1.8139060364562714
5.621797380108051,-5.621797380108051,1.813906036211292
5.621797380108051,-4.960409453036515,1.8139060364798076
5.621797380108051,-4.29902152596498,1.8139060365941744
5.621797380108051,-3.6376335988934447,1.8139060364176565
5.621797380108051,-2.9762456718219092,1.8139060364037338
5.621797380108051,-2.314857744750374,1.8139060369269389
5.621797380108051,-1.6534698176788387,1.8139060360860042
5.621797380108051,-0.9920818906073032,1.8139060359690393
5.621797380108051,-0.33069396353576774,1.8139060357775971
5.621797380108051,0.33069396353576774,1.8139060358414065
5.621797380108051,0.9920818906073032,1.8139060362590325
5.621797380108051,1.6534698176788378,1.813906036097708
5.621797380108051,2.3148577447503733,1.8139060369246125
5.621797380108051,2.976245671821909,1.8139060365991617
5.621797380108051,3.6376335988934443,1.8139060367468294
5.621797380108051,4.29902152596498,1.8139060361008963
5.621797380108051,4.960409453036515,1.8139060363433128
5.621797380108051,5.621797380108051,1.8139060360868446
5.621797380108051,6.283185307179586,1.8139060365621236
6.283185307179586,-6.283185307179586,7.389056101191935
6.283185307179586,-5.621797380108051,7.38905610110213
6.283185307179586,-4.960409453036515,7.389056101093585
6.283185307179586,-4.29902152596498,7.389056101067584
6.283185307179586,-3.6376335988934447,7.389056100661687
6.283185307179586,-2.9762456718219092,7.38905610103828
6.283185307179586,-2.314857744750374,7.389056101176782
6.283185307179586,-1.6534698176788387,7.38905609938331
6.283185307179586,-0.9920818906073032,7.38905610002291
6.283185307179586,-0.33069396353576774,7.389056099878105
6.283185307179586,0.33069396353576774,7.38905609989127
6.283185307179586,0.9920818906073032,7.3890561000878625
6.283185307179586,1.6534698176788378,7.389056099831273
6.283185307179586,2.3148577447503733,7.389056100464245
6.283185307179586,2.976245671821909,7.389056101098126
6.283185307179586,3.6376335988934443,7.389056101170117
6.283185307179586,4.29902152596498,7.389056101099534
6.283185307179586,4.960409453036515,7.389056100947897
6.283185307179586,5.621797380108051,7.389056101131958
6.283185307179586,6.283185307179586,7.389056101191935
