phi,rho,detJ
4.960409453036515,4.960409453036515,-6.498480887370015
4.960409453036515,5.621797380108051,1.8139060363433128
4.960409453036515,6.283185307179586,7.389056100947897
5.621797380108051,-6.283185307179586,7.389056101102127
5.621797380108051,-5.621797380108051,1.8139060362112924
5.621797380108051,-4.960409453036515,-6.498480886439511
5.621797380108051,-4.29902152596498,-5.004471528327665
5.621797380108051,-3.6376335988934447,4.041430625064984
5.621797380108051,-2.9762456718219092,6.988696660698328
5.621797380108051,-2.314857744750374,-0.6101834171237306
5.621797380108051,-1.6534698176788387,-7.2882790047322175
5.621797380108051,-0.9920818906073032,-2.9681500278322104
5.621797380108051,-0.33069396353576774,5.8310034943963815
5.621797380108051,0.33069396353576774,5.831003494057654
5.621797380108051,0.9920818906073032,-2.9681500276715136
5.621797380108051,1.6534698176788378,-7.288279005024101
5.621797380108051,2.3148577447503733,-0.6101834165149425
5.621797380108051,2.976245671821909,6.988696660635508
5.621797380108051,3.6376335988934443,4.041430624832659
5.621797380108051,4.29902152596498,-5.004471528332947
5.621797380108051,4.960409453036515,-6.498480887160491
5.621797380108051,5.621797380108051,1.8139060360868453
5.621797380108051,6.283185307179586,7.389056101131958
6.283185307179586,-6.283185307179586,7.389056101191935
6.283185307179586,-5.621797380108051,1.8139060364562718
6.283185307179586,-4.960409453036515,-6.4984808871068305
6.283185307179586,-4.29902152596498,-5.004471529028167
6.283185307179586,-3.6376335988934447,4.041430624480692
6.283185307179586,-2.9762456718219092,6.988696660376162
6.283185307179586,-2.314857744750374,-0.6101834164458839
6.283185307179586,-1.6534698176788387,-7.288279005099433
6.283185307179586,-0.9920818906073032,-2.968150027946753
6.283185307179586,-0.33069396353576774,5.831003494609102
6.283185307179586,0.33069396353576774,5.831003494595629
6.283185307179586,0.9920818906073032,-2.9681500279008004
6.283185307179586,1.6534698176788378,-7.288279005530606
6.283185307179586,2.3148577447503733,-0.6101834164425419
6.283185307179586,2.976245671821909,6.98869666035052
6.283185307179586,3.6376335988934443,4.041430624846189
6.283185307179586,4.29902152596498,-5.004471529040358
6.283185307179586,4.960409453036515,-6.498480886972738
6.283185307179586,5.621797380108051,1.8139060365621242
6.283185307179586,6.283185307179586,7.389056101191935
