phi,rho,detJ
-6.283185307179586,-6.283185307179586,7.389056101191935
-6.283185307179586,-5.621797380108051,7.389056101131958
-6.283185307179586,-4.960409453036515,7.389056100947897
-6.283185307179586,-4.29902152596498,7.389056101099534
-6.283185307179586,-3.6376335988934447,7.389056100737868
-6.283185307179586,-2.9762456718219092,7.3890561011517875
-6.283185307179586,-2.314857744750374,7.389056101142843
-6.283185307179586,-1.6534698176788387,7.389056099397223
-6.283185307179586,-0.9920818906073032,7.3890561000878625
-6.283185307179586,-0.33069396353576774,7.3890560998873065
-6.283185307179586,0.33069396353576774,7.389056099894237
-6.283185307179586,0.9920818906073032,7.38905610002291
-6.283185307179586,1.6534698176788378,7.38905609981989
-6.283185307179586,2.3148577447503733,7.389056100459241
-6.283185307179586,2.976245671821909,7.38905610112294
-6.283185307179586,3.6376335988934443,7.389056101152437
-6.283185307179586,4.29902152596498,7.389056101067584
-6.283185307179586,4.960409453036515,7.389056101081546
-6.283185307179586,5.621797380108051,7.389056101102127
-6.283185307179586,6.283185307179586,7.389056101191935
-5.621797380108051,-6.283185307179586,1.8139060365241133
-5.621797380108051,-5.621797380108051,1.8139060363116277
-5.621797380108051,-4.960409453036515,1.8139060363013904
-5.621797380108051,-4.29902152596498,1.8139060364824247
-5.621797380108051,-3.6376335988934447,1.8139060368959052
-5.621797380108051,-2.9762456718219092,1.813906036825414
-5.621797380108051,-2.314857744750374,1.8139060366206279
-5.621797380108051,-1.6534698176788387,1.8139060360038308
-5.621797380108051,-0.9920818906073032,1.8139060363374386
-5.621797380108051,-0.33069396353576774,1.8139060357724992
-5.621797380108051,0.33069396353576774,1.8139060360181511
-5.621797380108051,0.9920818906073032,1.813906036229443
-5.621797380108051,1.6534698176788378,1.8139060358093797
-5.621797380108051,2.3148577447503733,1.8139060364351571
-5.621797380108051,2.976245671821909,1.8139060365641069
-5.621797380108051,3.6376335988934443,1.813906036363949
-5.621797380108051,4.29902152596498,1.8139060366935227
-5.621797380108051,4.960409453036515,1.8139060363460884
-5.621797380108051,5.621797380108051,1.8139060364944903
-5.621797380108051,6.283185307179586,1.8139060364562718
-4.960409453036515,-6.283185307179586,-6.498480886972738
-4.960409453036515,-5.621797380108051,-6.498480887819473
-4.960409453036515,-4.960409453036515,-6.498480887273671
-4.960409453036515,-4.29902152596498,-6.498480887329273
-4.960409453036515,-3.6376335988934447,-6.498480886773708
-4.960409453036515,-2.9762456718219092,-6.498480886925814
-4.960409453036515,-2.314857744750374,-6.4984808872160675
-4.960409453036515,-1.6534698176788387,-6.498480885656144
-4.960409453036515,-0.9920818906073032,-6.498480886188169
