phi,rho,detJ,rankJ
-5.105088062083414,-5.497787143782138,-14.202619362158778,4
-5.105088062083414,-5.105088062083414,-14.20261936215878,4
-5.105088062083414,-4.71238898038469,-14.202619362158774,4
-5.105088062083414,-4.319689898685965,-14.202619362158776,4
-5.105088062083414,-3.9269908169872414,-14.202619362158778,4
-5.105088062083414,-3.5342917352885173,-14.202619362158783,4
-5.105088062083414,-3.141592653589793,-14.202619362158774,4
-5.105088062083414,-2.748893571891069,-14.20261936215878,4
-5.105088062083414,-2.356194490192345,-14.202619362158776,4
-5.105088062083414,-1.9634954084936207,-14.202619362158776,4
-5.105088062083414,-1.5707963267948966,-14.202619362158774,4
-5.105088062083414,-1.1780972450961724,-14.20261936215878,4
-5.105088062083414,-0.7853981633974483,-14.202619362158776,4
-5.105088062083414,-0.39269908169872414,-14.20261936215878,4
-5.105088062083414,0.0,-14.202619362158774,4
-5.105088062083414,0.39269908169872414,-14.20261936215878,4
-5.105088062083414,0.7853981633974483,-14.202619362158776,4
-5.105088062083414,1.1780972450961724,-14.20261936215878,4
-5.105088062083414,1.5707963267948966,-14.202619362158774,4
-5.105088062083414,1.9634954084936207,-14.202619362158776,4
-5.105088062083414,2.356194490192345,-14.202619362158776,4
-5.105088062083414,2.748893571891069,-14.20261936215878,4
-5.105088062083414,3.141592653589793,-14.202619362158774,4
-5.105088062083414,3.5342917352885173,-14.202619362158783,4
-5.105088062083414,3.9269908169872414,-14.202619362158778,4
-5.105088062083414,4.319689898685965,-14.202619362158776,4
-5.105088062083414,4.71238898038469,-14.202619362158774,4
-5.105088062083414,5.105088062083414,-14.20261936215878,4
-5.105088062083414,5.497787143782138,-14.202619362158778,4
-5.105088062083414,5.890486225480862,-14.202619362158778,4
-5.105088062083414,6.283185307179586,-14.202619362158774,4
-4.71238898038469,-6.283185307179586,-20.085536923187675,4
-4.71238898038469,-5.890486225480862,-20.08553692318767,4
-4.71238898038469,-5.497787143782138,-20.08553692318767,4
-4.71238898038469,-5.105088062083414,-20.085536923187668,4
-4.71238898038469,-4.71238898038469,-20.085536923187675,4
-4.71238898038469,-4.319689898685965,-20.08553692318767,4
-4.71238898038469,-3.9269908169872414,-20.08553692318768,4
-4.71238898038469,-3.5342917352885173,-20.085536923187675,4
-4.71238898038469,-3.141592653589793,-20.085536923187675,4
-4.71238898038469,-2.748893571891069,-20.08553692318767,4
-4.71238898038469,-2.356194490192345,-20.085536923187675,4
-4.71238898038469,-1.9634954084936207,-20.085536923187664,4
-4.71238898038469,-1.5707963267948966,-20.085536923187675,4
-4.71238898038469,-1.1780972450961724,-20.08553692318767,4
-4.71238898038469,-0.7853981633974483,-20.085536923187675,4
-4.71238898038469,-0.39269908169872414,-20.08553692318767,4
-4.71238898038469,0.0,-20.085536923187675,4
-4.71238898038469,0.39269908169872414,-20.08553692318767,4
-4.71238898038469,0.7853981633974483,-20.085536923187675,4
-4.71238898038469,1.1780972450961724,-20.08553692318767,4
-4.71238898038469,1.5707963267948966,-20.085536923187675,4
-4.71238898038469,1.9634954084936207,-20.085536923187664,4
-4.71238898038469,2.356194490192345,-20.085536923187675,4
-4.71238898038469,2.748893571891069,-20.08553692318767,4
-4.71238898038469,3.141592653589793,-20.085536923187675,4
-4.71238898038469,3.5342917352885173,-20.085536923187675,4
-4.71238898038469,3.9269908169872414,-20.08553692318768,4
-4.71238898038469,4.319689898685965,-20.08553692318767,4
-4.71238898038469,4.71238898038469,-20.085536923187675,4
-4.71238898038469,5.105088062083414,-20.085536923187668,4
-4.71238898038469,5.497787143782138,-20.08553692318767,4
-4.71238898038469,5.890486225480862,-20.08553692318767,4
-4.71238898038469,6.283185307179586,-20.085536923187675,4
-4.319689898685965,-6.283185307179586,-14.202619362158767,4
-4.319689898685965,-5.890486225480862,-14.202619362158767,4
-4.319689898685965,-5.497787143782138,-14.202619362158773,4
-4.319689898685965,-5.105088062083414,-14.202619362158764,4
-4.319689898685965,-4.71238898038469,-14.202619362158767,4
-4.319689898685965,-4.319689898685965,-14.202619362158767,4
-4.319689898685965,-3.9269908169872414,-14.202619362158776,4
-4.319689898685965,-3.5342917352885173,-14.20261936215877,4
-4.319689898685965,-3.141592653589793,-14.202619362158767,4
-4.319689898685965,-2.748893571891069,-14.20261936215877,4
-4.319689898685965,-2.356194490192345,-14.202619362158773,4
-4.319689898685965,-1.9634954084936207,-14.202619362158769,4
-4.319689898685965,-1.5707963267948966,-14.202619362158767,4
-4.319689898685965,-1.1780972450961724,-14.20261936215877,4
-4.319689898685965,-0.7853981633974483,-14.202619362158773,4
-4.319689898685965,-0.39269908169872414,-14.202619362158767,4
-4.319689898685965,0.0,-14.202619362158767,4
-4.319689898685965,0.39269908169872414,-14.202619362158767,4
-4.319689898685965,0.7853981633974483,-14.202619362158773,4
-4.319689898685965,1.1780972450961724,-14.20261936215877,4
-4.319689898685965,1.5707963267948966,-14.202619362158767,4
-4.319689898685965,1.9634954084936207,-14.202619362158769,4
-4.319689898685965,2.356194490192345,-14.202619362158773,4
-4.319689898685965,2.748893571891069,-14.20261936215877,4
-4.319689898685965,3.141592653589793,-14.202619362158767,4
-4.319689898685965,3.5342917352885173,-14.20261936215877,4
-4.319689898685965,3.9269908169872414,-14.202619362158776,4
-4.319689898685965,4.319689898685965,-14.202619362158767,4
-4.319689898685965,4.71238898038469,-14.202619362158767,4
-4.319689898685965,5.105088062083414,-14.202619362158764,4
-4.319689898685965,5.497787143782138,-14.202619362158773,4
-4.319689898685965,5.890486225480862,-14.202619362158767,4
-4.319689898685965,6.283185307179586,-14.202619362158767,4
-3.9269908169872414,-6.283185307179586,0.0,3
-3.9269908169872414,-5.890486225480862,0.0,3
-3.9269908169872414,-5.497787143782138,0.0,3
-3.9269908169872414,-5.105088062083414,0.0,3
-3.9269908169872414,-4.71238898038469,0.0,3
-3.9269908169872414,-4.319689898685965,0.0,3
-3.9269908169872414,-3.9269908169872414,0.0,3
-3.9269908169872414,-3.5342917352885173,0.0,3
-3.9269908169872414,-3.141592653589793,0.0,3
-3.9269908169872414,-2.748893571891069,0.0,3
-3.9269908169872414,-2.356194490192345,0.0,3
-3.9269908169872414,-1.9634954084936207,0.0,3
-3.9269908169872414,-1.5707963267948966,0.0,3
-3.9269908169872414,-1.1780972450961724,0.0,3
-3.9269908169872414,-0.7853981633974483,0.0,3
-3.9269908169872414,-0.39269908169872414,0.0,3
-3.9269908169872414,0.0,0.0,3
-3.9269908169872414,0.39269908169872414,0.0,3
-3.9269908169872414,0.7853981633974483,0.0,3
-3.9269908169872414,1.1780972450961724,0.0,3
-3.9269908169872414,1.5707963267948966,0.0,3
-3.9269908169872414,1.9634954084936207,0.0,3
-3.9269908169872414,2.356194490192345,0.0,3
-3.9269908169872414,2.748893571891069,0.0,3
-3.9269908169872414,3.141592653589793,0.0,3
-3.9269908169872414,3.5342917352885173,0.0,3
-3.9269908169872414,3.9269908169872414,0.0,3
-3.9269908169872414,4.319689898685965,0.0,3
-3.9269908169872414,4.71238898038469,0.0,3
-3.9269908169872414,5.105088062083414,0.0,3
-3.9269908169872414,5.497787143782138,0.0,3
-3.9269908169872414,5.890486225480862,0.0,3
-3.9269908169872414,6.283185307179586,0.0,3
-3.5342917352885173,-6.283185307179586,14.20261936215879,4
-3.5342917352885173,-5.890486225480862,14.202619362158796,4
-3.5342917352885173,-5.497787143782138,14.202619362158794,4
-3.5342917352885173,-5.105088062083414,14.202619362158794,4
-3.5342917352885173,-4.71238898038469,14.20261936215879,4
-3.5342917352885173,-4.319689898685965,14.202619362158796,4
-3.5342917352885173,-3.9269908169872414,14.202619362158801,4
-3.5342917352885173,-3.5342917352885173,14.202619362158801,4
-3.5342917352885173,-3.141592653589793,14.20261936215879,4
-3.5342917352885173,-2.748893571891069,14.202619362158794,4
-3.5342917352885173,-2.356194490192345,14.202619362158794,4
-3.5342917352885173,-1.9634954084936207,14.202619362158792,4
-3.5342917352885173,-1.5707963267948966,14.20261936215879,4
-3.5342917352885173,-1.1780972450961724,14.202619362158794,4
-3.5342917352885173,-0.7853981633974483,14.202619362158794,4
-3.5342917352885173,-0.39269908169872414,14.20261936215879,4
-3.5342917352885173,0.0,14.20261936215879,4
