theta,phi,rho,chi_orig,chi_flip,trait_val,trait_delta,is_mirror,sign_reversal
-6.283185307179586,-2.0943951023931957,4.18879020478639,0.8403167006883884,0.8403167006883884,0.9515039518377346,0.0,True,False
-6.283185307179586,-2.0943951023931957,5.235987755982988,-0.8403167006883869,-0.8403167006883869,0.9515039518377346,0.0,True,False
-6.283185307179586,-2.0943951023931957,6.283185307179586,-4.753168455664601e-16,-4.753168455664601e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,-1.0471975511965983,-6.283185307179586,-4.753168455664597e-16,-4.753168455664597e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,-1.0471975511965983,-5.235987755982989,-0.8403167006883877,-0.8403167006883877,0.9515039518377346,0.0,True,False
-6.283185307179586,-1.0471975511965983,-4.188790204786391,0.8403167006883868,0.8403167006883868,0.9515039518377346,0.0,True,False
-6.283185307179586,-1.0471975511965983,-3.141592653589793,-2.3765842278322985e-16,-2.3765842278322985e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,-1.0471975511965983,-2.0943951023931957,-0.840316700688388,-0.840316700688388,0.9515039518377346,0.0,True,False
-6.283185307179586,-1.0471975511965983,-1.0471975511965983,0.8403167006883866,0.8403167006883866,0.9515039518377346,0.0,True,False
-6.283185307179586,-1.0471975511965983,0.0,-0.0,-0.0,0.9074940754478454,0.0,True,False
-6.283185307179586,-1.0471975511965983,1.0471975511965974,-0.8403167006883868,-0.8403167006883868,0.9515039518377346,0.0,True,False
-6.283185307179586,-1.0471975511965983,2.094395102393195,0.8403167006883863,0.8403167006883863,0.9515039518377346,0.0,True,False
-6.283185307179586,-1.0471975511965983,3.141592653589793,2.3765842278322985e-16,2.3765842278322985e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,-1.0471975511965983,4.18879020478639,-0.8403167006883878,-0.8403167006883878,0.9515039518377346,0.0,True,False
-6.283185307179586,-1.0471975511965983,5.235987755982988,0.8403167006883862,0.8403167006883862,0.9515039518377346,0.0,True,False
-6.283185307179586,-1.0471975511965983,6.283185307179586,4.753168455664597e-16,4.753168455664597e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,0.0,-6.283185307179586,0.0,0.0,0.9246002761246634,0.0,True,False
-6.283185307179586,0.0,-5.235987755982989,0.0,0.0,0.9423637681008955,0.0,True,False
-6.283185307179586,0.0,-4.188790204786391,-0.0,-0.0,0.9423637681008957,0.0,True,False
-6.283185307179586,0.0,-3.141592653589793,0.0,0.0,0.9246002761246634,0.0,True,False
-6.283185307179586,0.0,-2.0943951023931957,0.0,0.0,0.9423637681008955,0.0,True,False
-6.283185307179586,0.0,-1.0471975511965983,-0.0,-0.0,0.9423637681008957,0.0,True,False
-6.283185307179586,0.0,0.0,0.0,0.0,0.9246002761246634,0.0,True,False
-6.283185307179586,0.0,1.0471975511965974,0.0,0.0,0.9423637681008957,0.0,True,False
-6.283185307179586,0.0,2.094395102393195,-0.0,-0.0,0.9423637681008957,0.0,True,False
-6.283185307179586,0.0,3.141592653589793,-0.0,-0.0,0.9246002761246634,0.0,True,False
-6.283185307179586,0.0,4.18879020478639,0.0,0.0,0.9423637681008957,0.0,True,False
-6.283185307179586,0.0,5.235987755982988,-0.0,-0.0,0.9423637681008957,0.0,True,False
-6.283185307179586,0.0,6.283185307179586,-0.0,-0.0,0.9246002761246634,0.0,True,False
-6.283185307179586,1.0471975511965974,-6.283185307179586,4.753168455664601e-16,4.753168455664601e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,1.0471975511965974,-5.235987755982989,0.8403167006883887,0.8403167006883887,0.9515039518377346,0.0,True,False
-6.283185307179586,1.0471975511965974,-4.188790204786391,-0.8403167006883875,-0.8403167006883875,0.9515039518377346,0.0,True,False
-6.283185307179586,1.0471975511965974,-3.141592653589793,2.3765842278323004e-16,2.3765842278323004e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,1.0471975511965974,-2.0943951023931957,0.8403167006883889,0.8403167006883889,0.9515039518377346,0.0,True,False
-6.283185307179586,1.0471975511965974,-1.0471975511965983,-0.8403167006883875,-0.8403167006883875,0.9515039518377346,0.0,True,False
-6.283185307179586,1.0471975511965974,0.0,0.0,0.0,0.9074940754478454,0.0,True,False
-6.283185307179586,1.0471975511965974,1.0471975511965974,0.8403167006883878,0.8403167006883878,0.9515039518377346,0.0,True,False
-6.283185307179586,1.0471975511965974,2.094395102393195,-0.8403167006883873,-0.8403167006883873,0.9515039518377346,0.0,True,False
-6.283185307179586,1.0471975511965974,3.141592653589793,-2.3765842278323004e-16,-2.3765842278323004e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,1.0471975511965974,4.18879020478639,0.8403167006883887,0.8403167006883887,0.9515039518377346,0.0,True,False
-6.283185307179586,1.0471975511965974,5.235987755982988,-0.8403167006883872,-0.8403167006883872,0.9515039518377346,0.0,True,False
-6.283185307179586,1.0471975511965974,6.283185307179586,-4.753168455664601e-16,-4.753168455664601e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,2.094395102393195,-6.283185307179586,-4.753168455664596e-16,-4.753168455664596e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,2.094395102393195,-5.235987755982989,-0.8403167006883876,-0.8403167006883876,0.9515039518377346,0.0,True,False
-6.283185307179586,2.094395102393195,-4.188790204786391,0.8403167006883864,0.8403167006883864,0.9515039518377346,0.0,True,False
-6.283185307179586,2.094395102393195,-3.141592653589793,-2.376584227832298e-16,-2.376584227832298e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,2.094395102393195,-2.0943951023931957,-0.8403167006883878,-0.8403167006883878,0.9515039518377346,0.0,True,False
-6.283185307179586,2.094395102393195,-1.0471975511965983,0.8403167006883864,0.8403167006883864,0.9515039518377346,0.0,True,False
-6.283185307179586,2.094395102393195,0.0,-0.0,-0.0,0.9074940754478454,0.0,True,False
-6.283185307179586,2.094395102393195,1.0471975511965974,-0.8403167006883867,-0.8403167006883867,0.9515039518377346,0.0,True,False
-6.283185307179586,2.094395102393195,2.094395102393195,0.8403167006883862,0.8403167006883862,0.9515039518377346,0.0,True,False
-6.283185307179586,2.094395102393195,3.141592653589793,2.376584227832298e-16,2.376584227832298e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,2.094395102393195,4.18879020478639,-0.8403167006883874,-0.8403167006883874,0.9515039518377346,0.0,True,False
-6.283185307179586,2.094395102393195,5.235987755982988,0.8403167006883862,0.8403167006883862,0.9515039518377346,0.0,True,False
-6.283185307179586,2.094395102393195,6.283185307179586,4.753168455664596e-16,4.753168455664596e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,3.141592653589793,-6.283185307179586,-1.344291405217648e-31,-1.344291405217648e-31,0.9246002761246634,0.0,True,False
-6.283185307179586,3.141592653589793,-5.235987755982989,-2.376584227832303e-16,-2.376584227832303e-16,0.9423637681008955,0.0,True,False
-6.283185307179586,3.141592653589793,-4.188790204786391,2.3765842278322995e-16,2.3765842278322995e-16,0.9423637681008957,0.0,True,False
-6.283185307179586,3.141592653589793,-3.141592653589793,-6.72145702608824e-32,-6.72145702608824e-32,0.9246002761246634,0.0,True,False
-6.283185307179586,3.141592653589793,-2.0943951023931957,-2.3765842278323034e-16,-2.3765842278323034e-16,0.9423637681008955,0.0,True,False
-6.283185307179586,3.141592653589793,-1.0471975511965983,2.3765842278322995e-16,2.3765842278322995e-16,0.9423637681008957,0.0,True,False
-6.283185307179586,3.141592653589793,0.0,-0.0,-0.0,0.9246002761246634,0.0,True,False
-6.283185307179586,3.141592653589793,1.0471975511965974,-2.3765842278323e-16,-2.3765842278323e-16,0.9423637681008957,0.0,True,False
-6.283185307179586,3.141592653589793,2.094395102393195,2.3765842278322985e-16,2.3765842278322985e-16,0.9423637681008957,0.0,True,False
-6.283185307179586,3.141592653589793,3.141592653589793,6.72145702608824e-32,6.72145702608824e-32,0.9246002761246634,0.0,True,False
-6.283185307179586,3.141592653589793,4.18879020478639,-2.3765842278323024e-16,-2.3765842278323024e-16,0.9423637681008957,0.0,True,False
-6.283185307179586,3.141592653589793,5.235987755982988,2.376584227832299e-16,2.376584227832299e-16,0.9423637681008957,0.0,True,False
-6.283185307179586,3.141592653589793,6.283185307179586,1.344291405217648e-31,1.344291405217648e-31,0.9246002761246634,0.0,True,False
-6.283185307179586,4.18879020478639,-6.283185307179586,4.753168455664607e-16,4.753168455664607e-16,0.9074940754478455,0.0,True,False
-6.283185307179586,4.18879020478639,-5.235987755982989,0.8403167006883896,0.8403167006883896,0.9515039518377346,0.0,True,False
-6.283185307179586,4.18879020478639,-4.188790204786391,-0.8403167006883884,-0.8403167006883884,0.9515039518377346,0.0,True,False
-6.283185307179586,4.18879020478639,-3.141592653589793,2.3765842278323034e-16,2.3765842278323034e-16,0.9074940754478455,0.0,True,False
-6.283185307179586,4.18879020478639,-2.0943951023931957,0.8403167006883898,0.8403167006883898,0.9515039518377346,0.0,True,False
-6.283185307179586,4.18879020478639,-1.0471975511965983,-0.8403167006883884,-0.8403167006883884,0.9515039518377346,0.0,True,False
-6.283185307179586,4.18879020478639,0.0,0.0,0.0,0.9074940754478455,0.0,True,False
-6.283185307179586,4.18879020478639,1.0471975511965974,0.8403167006883887,0.8403167006883887,0.9515039518377346,0.0,True,False
-6.283185307179586,4.18879020478639,2.094395102393195,-0.8403167006883882,-0.8403167006883882,0.9515039518377346,0.0,True,False
-6.283185307179586,4.18879020478639,3.141592653589793,-2.3765842278323034e-16,-2.3765842278323034e-16,0.9074940754478455,0.0,True,False
-6.283185307179586,4.18879020478639,4.18879020478639,0.8403167006883896,0.8403167006883896,0.9515039518377346,0.0,True,False
-6.283185307179586,4.18879020478639,5.235987755982988,-0.840316700688388,-0.840316700688388,0.9515039518377346,0.0,True,False
-6.283185307179586,4.18879020478639,6.283185307179586,-4.753168455664607e-16,-4.753168455664607e-16,0.9074940754478455,0.0,True,False
-6.283185307179586,5.235987755982988,-6.283185307179586,-4.753168455664596e-16,-4.753168455664596e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,5.235987755982988,-5.235987755982989,-0.8403167006883877,-0.8403167006883877,0.9515039518377346,0.0,True,False
-6.283185307179586,5.235987755982988,-4.188790204786391,0.8403167006883864,0.8403167006883864,0.9515039518377346,0.0,True,False
-6.283185307179586,5.235987755982988,-3.141592653589793,-2.376584227832298e-16,-2.376584227832298e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,5.235987755982988,-2.0943951023931957,-0.8403167006883878,-0.8403167006883878,0.9515039518377346,0.0,True,False
-6.283185307179586,5.235987755982988,-1.0471975511965983,0.8403167006883864,0.8403167006883864,0.9515039518377346,0.0,True,False
-6.283185307179586,5.235987755982988,0.0,-0.0,-0.0,0.9074940754478454,0.0,True,False
-6.283185307179586,5.235987755982988,1.0471975511965974,-0.8403167006883867,-0.8403167006883867,0.9515039518377346,0.0,True,False
-6.283185307179586,5.235987755982988,2.094395102393195,0.8403167006883862,0.8403167006883862,0.9515039518377346,0.0,True,False
-6.283185307179586,5.235987755982988,3.141592653589793,2.376584227832298e-16,2.376584227832298e-16,0.9074940754478454,0.0,True,False
-6.283185307179586,5.235987755982988,4.18879020478639,-0.8403167006883876,-0.8403167006883876,0.9515039518377346,0.0,True,False
-6.283185307179586,5.235987755982988,5.235987755982988,0.8403167006883862,0.8403167006883862,0.9515039518377346,0.0,True,False
-6.283185307179586,5.235987755982988,6.283185307179586,4.753168455664596e-16,4.753168455664596e-16,0.9074940754478454,0.0,True,False
