label,omega,theta,phi,rho,success,final_mass,integrated_abs_ricci,half_mass_radius,mass_90_radius,ricci_half_radius,ricci_90_radius,settling_radius,core_radius,soft_region_width,theta_total_shift,phi_total_shift,rho_total_shift
theta_rho_slice_12,0.5,0.0,-1.5707963267948966,0.0,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
theta_rho_slice_13,0.5,0.0,-1.5707963267948966,3.141592653589793,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
theta_rho_slice_14,0.5,0.0,-1.5707963267948966,6.283185307179586,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
theta_rho_slice_15,0.5,3.141592653589793,-1.5707963267948966,-6.283185307179586,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
theta_rho_slice_16,0.5,3.141592653589793,-1.5707963267948966,-3.141592653589793,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
theta_rho_slice_17,0.5,3.141592653589793,-1.5707963267948966,0.0,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
theta_rho_slice_18,0.5,3.141592653589793,-1.5707963267948966,3.141592653589793,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
theta_rho_slice_19,0.5,3.141592653589793,-1.5707963267948966,6.283185307179586,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
theta_rho_slice_20,0.5,6.283185307179586,-1.5707963267948966,-6.283185307179586,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
theta_rho_slice_21,0.5,6.283185307179586,-1.5707963267948966,-3.141592653589793,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
theta_rho_slice_22,0.5,6.283185307179586,-1.5707963267948966,0.0,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
theta_rho_slice_23,0.5,6.283185307179586,-1.5707963267948966,3.141592653589793,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
theta_rho_slice_24,0.5,6.283185307179586,-1.5707963267948966,6.283185307179586,True,0.1082188762467994,0.007846995788363861,14.670999999999731,19.00100000000017,14.28099999999974,18.86100000000015,0.001,7.8509999999998765,20.000000000000327,0.0,0.0,0.0
