theta,phi,rho,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho
-6.283185307179586,-2.748893571891069,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,2.2002332514599957e-32,0.7071067811865477,2.2002332514599957e-32
-6.283185307179586,-2.552544031041707,-4.71238898038469,2.1170000166126752,2.1170000166126752,2.1170000166126752,2.475262407892494e-32,0.9238795325112865,-1.3751457821624968e-33
-6.283185307179586,-2.356194490192345,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-4.950524815784991e-32,1.0,-1.6501749385949968e-32
-6.283185307179586,-2.1598449493429825,-4.71238898038469,2.1170000166126752,2.1170000166126752,2.1170000166126752,3.3003498771899925e-32,0.9238795325112863,-2.475262407892494e-32
-6.283185307179586,-1.9634954084936207,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-2.2002332514599957e-32,0.7071067811865474,-4.950524815784991e-32
-6.283185307179586,-1.7671458676442586,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-2.750291564324995e-32,0.38268343236508956,-3.3003498771899936e-32
-6.283185307179586,-1.5707963267948966,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-1.4009469375962765e-32,-1.2246467991473532e-16,2.2496396739927861e-32
-6.283185307179586,-1.3744467859455345,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,1.1001166257299979e-32,-0.3826834323650899,4.4004665029199915e-32
-6.283185307179586,-1.1780972450961724,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,1.1001166257299979e-32,-0.7071067811865476,2.2002332514599957e-32
-6.283185307179586,-0.9817477042468103,-4.71238898038469,2.117000016612675,2.1170000166126752,2.117000016612675,2.475262407892495e-32,-0.9238795325112868,5.5005831286499886e-33
-6.283185307179586,-0.7853981633974483,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-4.950524815784991e-32,-1.0,-1.6501749385949968e-32
-6.283185307179586,-0.5890486225480862,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,1.1001166257299979e-32,-0.9238795325112866,-3.850408190054993e-32
